wavelength,value
2938.42557,0.20940
2937.46121,0.22117
2936.49684,0.23383
2935.53247,0.24721
2934.56811,0.26127
2933.60374,0.27595
2932.63937,0.29107
2931.67501,0.30636
2930.71064,0.32167
2929.74627,0.33682
2928.78191,0.35159
2927.81754,0.36579
2926.85317,0.37930
2925.88880,0.39180
2924.92444,0.40286
2923.96007,0.41203
2922.99570,0.41903
2922.03134,0.42373
2921.06697,0.42584
2920.10260,0.42503
2919.13824,0.42120
2918.17387,0.41445
2917.20950,0.40471
2916.24514,0.39173
2915.28077,0.37552
2914.31640,0.35669
2913.35204,0.33633
2912.38767,0.31578
2911.42330,0.29630
2910.45894,0.27862
2909.49457,0.26292
2908.53020,0.24908
2907.56584,0.23682
2906.60147,0.22583
2905.63710,0.21587
2904.67274,0.20678
2903.70837,0.19851
2902.74400,0.19088
2901.77964,0.18373
2900.81527,0.17709
2899.85090,0.17092
2898.88653,0.16507
2897.92217,0.15946
2896.95780,0.15408
2895.99343,0.14892
2895.02907,0.14393
2894.06470,0.13907
2893.10033,0.13427
2892.13597,0.12949
2891.17160,0.12483
2890.20723,0.12040
2889.24287,0.11616
2888.27850,0.11209
2887.31413,0.10822
2886.34977,0.10465
2885.38540,0.10155
2884.42103,0.09888
2883.45667,0.09650
2882.49230,0.09454
2881.52793,0.09316
2880.56357,0.09239
2879.59920,0.09230
2878.63483,0.09304
2877.67047,0.09468
2876.70610,0.09710
2875.74173,0.10011
2874.77737,0.10347
2873.81300,0.10685
2872.84863,0.10977
2871.88427,0.11185
2870.91990,0.11300
2869.95553,0.11359
2868.99116,0.11429
2868.02680,0.11568
2867.06243,0.11810
2866.09806,0.12188
2865.13370,0.12730
2864.16933,0.13448
2863.20496,0.14342
2862.24060,0.15402
2861.27623,0.16621
2860.31186,0.17980
2859.34750,0.19447
2858.38313,0.20998
2857.41876,0.22583
2856.45440,0.24137
2855.49003,0.25610
2854.52566,0.26937
2853.56130,0.28019
2852.59693,0.28757
2851.63256,0.29051
2850.66820,0.28779
2849.70383,0.27815
2848.73946,0.26146
2847.77510,0.23938
2846.81073,0.21456
2845.84636,0.18949
2844.88200,0.16598
2843.91763,0.14507
2842.95326,0.12717
2841.98889,0.11226
2841.02453,0.09998
2840.06016,0.08985
2839.09579,0.08153
2838.13143,0.07476
2837.16706,0.06917
2836.20269,0.06440
2835.23833,0.06025
2834.27396,0.05670
2833.30959,0.05366
2832.34523,0.05092
2831.38086,0.04836
2830.41649,0.04592
2829.45213,0.04362
2828.48776,0.04152
2827.52339,0.03962
2826.55903,0.03793
2825.59466,0.03637
2824.63029,0.03487
2823.66593,0.03349
2822.70156,0.03221
2821.73719,0.03098
2820.77283,0.02985
2819.80846,0.02889
2818.84409,0.02811
2817.87973,0.02736
2816.91536,0.02655
2815.95099,0.02571
2814.98663,0.02493
2814.02226,0.02422
2813.05789,0.02353
2812.09352,0.02293
2811.12916,0.02238
2810.16479,0.02178
2809.20042,0.02127
2808.23606,0.02088
2807.27169,0.02045
2806.30732,0.01993
2805.34296,0.01943
2804.37859,0.01895
2803.41422,0.01849
2802.44986,0.01815
2801.48549,0.01792
2800.52112,0.01761
2799.55676,0.01721
2798.59239,0.01692
2797.62802,0.01673
2796.66366,0.01646
2795.69929,0.01608
2794.73492,0.01570
2793.77056,0.01542
2792.80619,0.01521
2791.84182,0.01498
2790.87746,0.01479
2789.91309,0.01467
2788.94872,0.01450
2787.98436,0.01420
2787.01999,0.01386
2786.05562,0.01359
2785.09126,0.01333
2784.12689,0.01307
2783.16252,0.01288
2782.19815,0.01273
2781.23379,0.01261
2780.26942,0.01250
2779.30505,0.01236
2778.34069,0.01222
2777.37632,0.01206
2776.41195,0.01180
