wavelength,value
2950.96234,0.16161
2949.99797,0.16095
2949.03361,0.16126
2948.06924,0.16270
2947.10487,0.16530
2946.14051,0.16903
2945.17614,0.17383
2944.21177,0.17984
2943.24741,0.18720
2942.28304,0.19586
2941.31867,0.20573
2940.35431,0.21671
2939.38994,0.22868
2938.42557,0.24166
2937.46121,0.25565
2936.49684,0.27054
2935.53247,0.28626
2934.56811,0.30274
2933.60374,0.31981
2932.63937,0.33733
2931.67501,0.35511
2930.71064,0.37276
2929.74627,0.38997
2928.78191,0.40661
2927.81754,0.42258
2926.85317,0.43759
2925.88880,0.45114
2924.92444,0.46261
2923.96007,0.47156
2922.99570,0.47772
2922.03134,0.48063
2921.06697,0.47992
2920.10260,0.47585
2919.13824,0.46878
2918.17387,0.45875
2917.20950,0.44578
2916.24514,0.43001
2915.28077,0.41155
2914.31640,0.39069
2913.35204,0.36838
2912.38767,0.34604
2911.42330,0.32501
2910.45894,0.30600
2909.49457,0.28903
2908.53020,0.27393
2907.56584,0.26059
2906.60147,0.24886
2905.63710,0.23839
2904.67274,0.22878
2903.70837,0.21985
2902.74400,0.21152
2901.77964,0.20370
2900.81527,0.19644
2899.85090,0.18972
2898.88653,0.18331
2897.92217,0.17709
2896.95780,0.17112
2895.99343,0.16538
2895.02907,0.15974
2894.06470,0.15413
2893.10033,0.14863
2892.13597,0.14327
2891.17160,0.13809
2890.20723,0.13321
2889.24287,0.12859
2888.27850,0.12418
2887.31413,0.11999
2886.34977,0.11614
2885.38540,0.11275
2884.42103,0.10981
2883.45667,0.10723
2882.49230,0.10511
2881.52793,0.10359
2880.56357,0.10273
2879.59920,0.10268
2878.63483,0.10361
2877.67047,0.10538
2876.70610,0.10786
2875.74173,0.11111
2874.77737,0.11505
2873.81300,0.11909
2872.84863,0.12251
2871.88427,0.12492
2870.91990,0.12634
2869.95553,0.12725
2868.99116,0.12830
2868.02680,0.13015
2867.06243,0.13337
2866.09806,0.13825
2865.13370,0.14490
2864.16933,0.15344
2863.20496,0.16396
2862.24060,0.17645
2861.27623,0.19083
2860.31186,0.20681
2859.34750,0.22392
2858.38313,0.24164
2857.41876,0.25951
2856.45440,0.27692
2855.49003,0.29291
2854.52566,0.30621
2853.56130,0.31577
2852.59693,0.32076
2851.63256,0.32038
2850.66820,0.31387
2849.70383,0.30075
2848.73946,0.28117
2847.77510,0.25671
2846.81073,0.23002
2845.84636,0.20353
2844.88200,0.17884
2843.91763,0.15693
2842.95326,0.13826
2841.98889,0.12269
2841.02453,0.10978
2840.06016,0.09911
2839.09579,0.09029
2838.13143,0.08297
2837.16706,0.07684
2836.20269,0.07172
2835.23833,0.06741
2834.27396,0.06362
2833.30959,0.06016
2832.34523,0.05695
2831.38086,0.05397
2830.41649,0.05131
2829.45213,0.04889
2828.48776,0.04665
2827.52339,0.04466
2826.55903,0.04280
2825.59466,0.04099
2824.63029,0.03935
2823.66593,0.03798
2822.70156,0.03672
2821.73719,0.03539
2820.77283,0.03411
2819.80846,0.03305
2818.84409,0.03209
2817.87973,0.03105
2816.91536,0.03005
2815.95099,0.02921
2814.98663,0.02851
2814.02226,0.02781
2813.05789,0.02708
2812.09352,0.02641
2811.12916,0.02590
2810.16479,0.02542
2809.20042,0.02479
2808.23606,0.02412
2807.27169,0.02362
2806.30732,0.02322
2805.34296,0.02272
2804.37859,0.02213
2803.41422,0.02158
2802.44986,0.02112
2801.48549,0.02077
2800.52112,0.02048
2799.55676,0.02016
2798.59239,0.01990
2797.62802,0.01969
2796.66366,0.01946
2795.69929,0.01917
2794.73492,0.01884
2793.77056,0.01848
2792.80619,0.01816
2791.84182,0.01788
2790.87746,0.01761
2789.91309,0.01737
2788.94872,0.01719
2787.98436,0.01700
2787.01999,0.01673
2786.05562,0.01641
2785.09126,0.01613
2784.12689,0.01596
2783.16252,0.01585
2782.19815,0.01569
2781.23379,0.01544
2780.26942,0.01513
2779.30505,0.01484
2778.34069,0.01461
2777.37632,0.01444
2776.41195,0.01431
