X,Y,Z
-114.9,542.914,-4.9042
-111.07,542.595,-6.6647
-111.03,542.609,-10.99
-114.89,542.928,5.1314
-111.14,542.594,3.3774
-111.26,542.602,-1.812
-114,542.929,15.128
-110.47,542.594,13.259
-110.89,542.593,8.2236
-112.25,542.923,25.009
-109.79,542.592,18.067
-109.17,542.616,22.771
-109.64,542.912,34.7
-108.08,542.61,27.513
-107.61,542.653,31.476
-106.2,542.889,44.127
-103.56,542.504,39.064
-106.13,542.643,36.141
-101.95,542.862,53.217
-98.162,542.344,47.765
-101.75,542.489,43.545
-96.919,542.824,61.903
-95.984,542.318,52.002
-94.189,542.411,57.54
-91.153,542.79,70.117
-91.589,542.387,61.595
-90.314,542.481,65.623
-84.693,542.749,77.796
-83.726,542.326,71.752
-87.365,542.46,69.502
-77.588,542.702,84.884
-75.592,542.14,78.07
-80.515,542.297,75.336
-69.892,542.657,91.325
-72.113,542.111,81.294
-68.55,542.205,86.072
-61.664,542.62,97.071
-64.729,542.184,88.981
-60.583,542.187,92.126
-52.966,542.582,102.08
-56.506,542.168,94.682
-52.64,542.195,97.449
-43.865,542.552,106.31
-48.338,542.177,99.653
-44.707,542.212,101.98
-34.43,542.522,109.73
-40.214,542.197,103.83
-35.886,542.076,104.06
-24.733,542.5,112.31
-26.324,542.017,106.58
-31.312,542.054,105.52
-14.847,542.481,114.04
-16.461,542.012,108.68
-21.424,542.01,107.66
-4.8485,542.471,114.9
-6.5012,541.972,109.3
-11.703,542.006,109.29
5.1871,542.472,114.88
3.484,542.013,109.99
-1.4879,541.964,109.51
15.183,542.479,113.99
8.4967,542.017,109.76
12.405,542.111,110.32
25.064,542.5,112.24
21.446,541.952,106.94
17.207,542.109,109.67
34.753,542.519,109.62
31.718,542.036,105.14
26.091,541.96,105.9
44.178,542.548,106.18
40.513,542.165,103.31
36.275,542.052,103.65
53.267,542.58,101.92
48.671,542.086,98.334
44.982,542.176,101.44
61.949,542.625,96.888
52.916,542.107,96.116
57.694,542.261,95.103
70.16,542.657,91.118
64.494,542.176,88.995
61.788,542.279,92.495
77.837,542.707,84.654
68.47,542.198,85.934
71.128,542.079,81.725
76.03,542.421,82.131
84.921,542.75,77.545
79.724,542.448,78.734
91.359,542.788,69.846
83.107,542.46,75.029
85.946,542.41,70.411
97.1,542.829,61.615
88.936,542.432,66.594
91.814,542.429,62.208
102.1,542.862,52.915
94.441,542.454,58.143
97.115,542.482,53.671
106.33,542.892,43.812
99.365,542.497,49.382
101.46,542.506,44.863
109.74,542.909,34.375
105.01,542.541,35.983
103.32,542.518,40.393
112.32,542.926,24.677
107.56,542.535,26.437
106.48,542.555,31.367
114.04,542.932,14.79
109.54,542.56,17.122
108.61,542.544,21.719
110.42,542.544,7.168
110.19,542.567,12.145
3.932,538.369,-1.8999
4.1801,538.358,0.0965
4.9325,538.378,-1.7855
5.3521,538.374,-1.0231
4.8592,538.363,-0.17611
4.4699,538.388,-2.8624
4.1068,538.39,-3.6384
3.1396,538.384,-3.6066
-3.6054,538.376,-2.2866
-1.8908,538.389,-3.6829
-2.4237,538.39,-4.5679
-3.941,538.381,-3.2087
-3.5998,538.388,-4.0654
-2.2205,538.331,3.6474
-3.7669,538.351,2.013
-4.5646,538.344,2.516
-3.2756,538.333,4.0522
-3.9962,538.342,3.5591
3.5653,538.341,2.1103
2.0817,538.337,3.7282
4.325,538.341,2.7982
2.9072,538.336,4.3391
4.1098,538.335,3.8973
0.0143,538.386,-4.1682
1.7316,538.389,-4.3951
1.1812,538.395,-5.1525
0.4741,538.398,-4.8611
-4.2948,538.365,-0.1595
-4.5859,538.382,-2.2468
-5.3182,538.377,-1.4223
-4.966,538.368,-0.67485
-0.0808,538.325,4.2968
-2.1128,538.326,4.7954
-1.3698,538.323,5.3667
-0.56082,538.326,4.9663
4.7069,538.355,0.9415
4.8329,538.348,1.7358
0.77065,538.331,5.0136
1.7083,538.329,5.0628
-5.0408,538.359,0.65836
-5.137,538.357,1.5088
-0.55477,538.394,-4.7711
-1.3316,538.399,-5.0091
5.1137,538.397,-3.6676
5.9758,538.398,-3.484
5.9746,538.384,-1.9427
6.5665,538.394,-2.8741
3.6021,538.393,-4.606
4.1959,538.405,-5.4791
5.5032,538.398,-4.4799
5.2668,538.405,-5.378
3.1406,538.408,-5.4343
2.1459,538.403,-5.3073
